match_id,team_id,press_total_events,press_counter_press_events,press_recovery_press_events,press_chain_length_sum_dedup,press_long_chains,press_chain_regain_count,press_chain_disruption_count,def_force_backward_count,def_stop_danger_count,att_width_expansion_sum,def_length_compression_sum,def_width_deployed_sum,def_high_block_recovery_count,def_medium_block_recovery_count,def_low_block_recovery_count,def_possession_regain_total,terr_events_attacking_third,terr_events_penalty_area,terr_events_halfspace,terr_possession_duration_attacking_third,terr_attacking_width_spread_sum,att_channel_switch_count,att_touches_total,prog_forward_pass_distance_sum,prog_first_line_break_passes,prog_last_line_break_passes,prog_cumulative_progressive_distance,prog_passes_into_final_third,prog_passes_into_penalty_area,attack_events_leading_to_shot,attack_create_phase_count,attack_finish_phase_count,attack_quick_break_phase_count,attack_total_opponents_bypassed,movement_runs_ahead_of_ball,movement_runs_behind_defense,movement_overlap_underlap_runs,movement_off_ball_run_volume_sum,phys_sprinting_events,phys_hsr_events,phys_receiver_space_created,state_defending_high_block_phases,state_defensive_line_height_sum,seq_progressive_chain_count,seq_sustained_attacking_sequences,seq_buildup_to_advance_count,seq_press_to_shot_chains,seq_territorial_wave_distance,seq_max_field_switch_dist
1886347,1805,262,34,106,127,9,5,6,44,7,353.5,712.1,8804.0,3,17,23,96,51,6,149,51.4,929.0,130,529,1045.0,30,7,570.0,2,0,19,65,27,0,555,69,25,5,259,26,171,361.6,22,14626.4,1,4,25,0,370.8,48.9
1886347,4177,218,53,100,184,10,16,7,22,4,209.8,577.1,6809.8,4,35,11,100,156,15,180,240.6,3092.5,145,644,1278.4,43,17,753.3,5,1,40,67,54,3,724,78,17,30,340,31,218,623.2,38,18668.9,7,16,13,1,608.8,43.1
1899585,867,213,45,109,74,2,11,1,16,14,198.7,726.5,7750.7,2,22,25,116,81,9,158,91.8,1437.7,127,531,946.3,34,16,532.2,6,2,13,61,26,2,668,66,24,10,248,29,188,478.4,3,4196.3,3,11,18,1,408.2,47.0
1899585,4177,196,54,86,134,4,18,7,33,13,87.1,646.7,8365.0,6,27,12,116,177,19,143,219.7,3754.9,123,570,1118.7,30,4,677.0,11,6,50,45,46,3,539,59,7,26,220,26,180,495.5,29,16444.1,4,27,8,2,619.2,45.3
1925299,871,299,26,128,111,2,13,2,34,13,303.0,1033.7,8197.5,1,22,27,114,66,14,127,105.6,1100.7,127,474,1301.8,29,7,687.8,6,0,26,47,31,1,532,81,4,9,230,19,126,406.2,29,19201.6,2,8,17,0,478.2,46.8
1925299,1802,164,42,81,114,6,11,10,29,9,272.0,766.3,7463.9,3,23,16,112,175,25,218,300.9,3517.2,160,759,1564.9,52,5,927.6,14,4,42,79,60,6,776,71,7,16,265,20,153,698.8,29,11702.3,6,29,22,1,684.1,52.3
1953632,870,282,41,74,176,6,11,6,35,10,291.0,620.9,9457.5,1,34,11,88,36,4,112,40.0,527.1,101,403,1058.1,43,7,282.8,2,0,9,43,12,1,528,36,9,6,155,19,139,302.0,16,14641.0,1,5,19,0,190.9,57.5
1953632,2380,177,38,51,140,11,14,4,34,1,203.4,462.2,6365.0,5,18,6,89,97,10,199,137.9,2076.2,151,763,1678.3,41,16,626.4,8,1,23,88,39,3,664,71,27,13,302,21,161,726.1,32,13698.9,2,11,22,1,487.0,51.3
1996435,866,269,54,143,169,10,19,6,28,14,327.5,859.2,8080.8,6,25,20,95,90,14,144,132.9,1686.8,133,563,1279.2,30,16,642.9,7,4,35,56,37,1,684,76,24,9,249,35,201,516.6,23,8765.1,1,13,20,2,494.9,45.2
1996435,869,240,49,103,182,11,22,3,22,18,246.7,566.6,7261.7,5,26,21,98,165,22,158,219.2,3392.7,129,641,1430.5,34,9,766.7,16,1,42,66,47,1,742,85,17,22,285,33,220,639.2,39,17880.1,4,21,22,1,518.6,48.5
2006229,1804,281,41,109,171,5,11,3,48,7,305.2,516.0,9152.5,3,23,20,96,44,7,111,56.5,984.0,118,481,1193.0,43,5,484.0,2,1,10,59,13,2,575,44,11,11,185,15,123,448.8,11,6536.1,4,5,19,1,294.5,47.6
2006229,2380,208,35,74,184,8,26,9,25,1,179.4,568.0,7340.0,4,36,5,97,135,20,194,181.5,2803.2,130,690,1510.9,35,8,662.7,14,1,31,69,49,1,688,69,41,15,325,27,179,625.3,35,15388.5,1,15,21,1,498.3,61.0
2011166,867,167,22,99,70,3,6,2,16,12,240.7,593.7,7511.2,5,16,24,114,73,12,112,85.7,1455.8,115,445,897.1,20,12,492.7,4,1,24,42,24,2,493,60,21,8,200,49,171,338.9,7,5251.1,2,6,14,1,349.8,49.6
2011166,868,138,60,64,90,1,14,1,11,4,224.8,548.9,5978.3,2,24,15,115,144,20,123,255.2,2677.6,123,511,969.4,14,4,792.7,8,4,56,51,43,5,549,82,11,14,237,31,165,471.3,25,13661.7,4,19,10,0,509.6,57.9
